ticker,mode,depth,check,violations,tests,max_violation,fraction
GS,frozen,201,bounds,0,2222,0.0,0.0
GS,frozen,201,monotonicity,0,2020,0.007675019732776629,0.0
GS,frozen,201,vertical_spread,0,2020,0.0,0.0
GS,frozen,201,convexity,0,1818,2.887645678129047e-11,0.0
GS,frozen,401,bounds,0,2222,0.0,0.0
GS,frozen,401,monotonicity,0,2020,0.0076743102993344775,0.0
GS,frozen,401,vertical_spread,0,2020,0.0,0.0
GS,frozen,401,convexity,0,1818,5.377387424232438e-11,0.0
GS,surface,201,bounds,0,2222,0.0,0.0
GS,surface,201,monotonicity,68,2020,0.07658946528359079,0.033663366336633666
GS,surface,201,vertical_spread,66,2020,0.07352036094034986,0.032673267326732675
GS,surface,201,convexity,178,1818,0.11306340718712637,0.09790979097909791
GS,surface,401,bounds,0,2222,0.0,0.0
GS,surface,401,monotonicity,68,2020,0.07658611450062836,0.033663366336633666
GS,surface,401,vertical_spread,67,2020,0.07348759441183006,0.03316831683168317
GS,surface,401,convexity,178,1818,0.11306254050412146,0.09790979097909791
GS,relaxation,201,bounds,0,2222,0.0,0.0
GS,relaxation,201,monotonicity,2,2020,0.013676438685302605,0.0009900990099009901
GS,relaxation,201,vertical_spread,0,2020,0.0,0.0
GS,relaxation,201,convexity,0,1818,4.831690603168681e-12,0.0
GS,relaxation,401,bounds,0,2222,0.0,0.0
GS,relaxation,401,monotonicity,2,2020,0.01367531600676597,0.0009900990099009901
GS,relaxation,401,vertical_spread,0,2020,0.0,0.0
GS,relaxation,401,convexity,0,1818,2.842170943040401e-14,0.0
GS,uncoupled,201,bounds,0,2222,0.0,0.0
GS,uncoupled,201,monotonicity,3,2020,0.014445541177685678,0.0014851485148514852
GS,uncoupled,201,vertical_spread,0,2020,0.0,0.0
GS,uncoupled,201,convexity,0,1818,5.4301950861970935e-11,0.0
GS,uncoupled,401,bounds,0,2222,0.0,0.0
GS,uncoupled,401,monotonicity,3,2020,0.014444379797045326,0.0014851485148514852
GS,uncoupled,401,vertical_spread,0,2020,0.0,0.0
GS,uncoupled,401,convexity,0,1818,5.4193229647038995e-11,0.0
GS,coupled,201,bounds,0,2222,0.0,0.0
GS,coupled,201,monotonicity,3,2020,0.013201918079168637,0.0014851485148514852
GS,coupled,201,vertical_spread,0,2020,0.0,0.0
GS,coupled,201,convexity,0,1818,1.1340705665468438e-9,0.0
GS,coupled,401,bounds,0,2222,0.0,0.0
GS,coupled,401,monotonicity,3,2020,0.013200918812239948,0.0014851485148514852
GS,coupled,401,vertical_spread,0,2020,0.0,0.0
GS,coupled,401,convexity,0,1818,1.1324340468853739e-9,0.0
LLY,frozen,201,bounds,0,2222,0.0,0.0
LLY,frozen,201,monotonicity,0,2020,0.0,0.0
LLY,frozen,201,vertical_spread,0,2020,0.0,0.0
LLY,frozen,201,convexity,0,1818,2.4385826691286638e-11,0.0
LLY,frozen,401,bounds,0,2222,0.0,0.0
LLY,frozen,401,monotonicity,0,2020,0.0,0.0
LLY,frozen,401,vertical_spread,0,2020,0.0,0.0
LLY,frozen,401,convexity,0,1818,5.7980287238024175e-11,0.0
LLY,surface,201,bounds,0,2222,0.0,0.0
LLY,surface,201,monotonicity,0,2020,0.0,0.0
LLY,surface,201,vertical_spread,0,2020,0.0,0.0
LLY,surface,201,convexity,0,1818,0.0,0.0
LLY,surface,401,bounds,0,2222,0.0,0.0
LLY,surface,401,monotonicity,0,2020,0.0,0.0
LLY,surface,401,vertical_spread,0,2020,0.0,0.0
LLY,surface,401,convexity,0,1818,0.0,0.0
LLY,relaxation,201,bounds,0,2222,0.0,0.0
LLY,relaxation,201,monotonicity,0,2020,0.0,0.0
LLY,relaxation,201,vertical_spread,0,2020,0.0,0.0
LLY,relaxation,201,convexity,0,1818,2.842170943040401e-14,0.0
LLY,relaxation,401,bounds,0,2222,0.0,0.0
LLY,relaxation,401,monotonicity,0,2020,0.0,0.0
LLY,relaxation,401,vertical_spread,0,2020,0.0,0.0
LLY,relaxation,401,convexity,0,1818,2.842170943040401e-14,0.0
LLY,uncoupled,201,bounds,0,2222,0.0,0.0
LLY,uncoupled,201,monotonicity,0,2020,0.0,0.0
LLY,uncoupled,201,vertical_spread,0,2020,0.0,0.0
LLY,uncoupled,201,convexity,0,1818,2.842170943040401e-14,0.0
LLY,uncoupled,401,bounds,0,2222,0.0,0.0
LLY,uncoupled,401,monotonicity,0,2020,0.0,0.0
LLY,uncoupled,401,vertical_spread,0,2020,0.0,0.0
LLY,uncoupled,401,convexity,0,1818,2.842170943040401e-14,0.0
LLY,coupled,201,bounds,0,2222,0.0,0.0
LLY,coupled,201,monotonicity,0,2020,0.0,0.0
LLY,coupled,201,vertical_spread,0,2020,0.0,0.0
LLY,coupled,201,convexity,0,1818,9.663381206337363e-12,0.0
LLY,coupled,401,bounds,0,2222,0.0,0.0
LLY,coupled,401,monotonicity,0,2020,0.0,0.0
LLY,coupled,401,vertical_spread,0,2020,0.0,0.0
LLY,coupled,401,convexity,0,1818,2.0463630789890885e-11,0.0
